"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x727448203180822528","x1025033529212772353",2018-08-02 15:00:12,"IQVIA_global","#DYK over the past 20 years, more than 700 new active substances have successfully launched for global patient use? Get more insight into the trends in #pharma innovation here: https://t.co/KvOGubpn2T
 #IQVIAinstitute https://t.co/uEFM2G6dbs","Spredfast",217,,,,FALSE,FALSE,8,2,"DYK pharma IQVIAinstitute",,"bit.ly/2vaT8X7","https://t.co/KvOGubpn2T","http://bit.ly/2vaT8X7","http://pbs.twimg.com/media/Djmmj-iV4AEyMaa.jpg","https://t.co/uEFM2G6dbs","https://twitter.com/IQVIA_global/status/1025033529212772353/photo/1","photo","http://pbs.twimg.com/media/Djmmj-iV4AEyMaa.jpg","https://t.co/uEFM2G6dbs","https://twitter.com/IQVIA_global/status/1025033529212772353/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1025033529212772353","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1025018415273193472",2018-08-02 14:00:08,"IQVIA_global","Download our #pharma #outsourcing white paper that discusses partnering solutions specifically tailored for emerging #pharma: 
 https://t.co/1QixtSEQTa https://t.co/2cKftMXPEA","Spredfast",151,,,,FALSE,FALSE,2,1,"pharma outsourcing pharma",,"bit.ly/2LJQO3w","https://t.co/1QixtSEQTa","http://bit.ly/2LJQO3w","http://pbs.twimg.com/media/DjmY0N-WsAAMtGM.jpg","https://t.co/2cKftMXPEA","https://twitter.com/IQVIA_global/status/1025018415273193472/photo/1","photo","http://pbs.twimg.com/media/DjmY0N-WsAAMtGM.jpg","https://t.co/2cKftMXPEA","https://twitter.com/IQVIA_global/status/1025018415273193472/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1025018415273193472","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024716463649837056",2018-08-01 18:00:17,"IQVIA_global","“For more than a decade, Jon Resnick has shown a passion for evolving the #RWE space, focusing on advancements in data collection, technology, and analytics to drive transformation in approaches to evidence generation.”  - @PharmaVOICE https://t.co/P7xoixahPv https://t.co/knr1KW36RL","Spredfast",259,,,,FALSE,FALSE,1,1,"RWE",,"bit.ly/2McflKG","https://t.co/P7xoixahPv","http://bit.ly/2McflKG","http://pbs.twimg.com/media/DjiGMSvXoAEBexx.jpg","https://t.co/knr1KW36RL","https://twitter.com/IQVIA_global/status/1024716463649837056/photo/1","photo","http://pbs.twimg.com/media/DjiGMSvXoAEBexx.jpg","https://t.co/knr1KW36RL","https://twitter.com/IQVIA_global/status/1024716463649837056/photo/1",,"x18208219","PharmaVOICE","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024716463649837056","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024701347105517568",2018-08-01 17:00:13,"IQVIA_global","DOWNLOAD this white paper to learn how technology supports #pharma decision making via the improved availability of data to better understand patients and their conditions: https://t.co/cXdqQFmRH8 #ClinicalResearch #DigitalHealth https://t.co/eatwoPi9CC","Spredfast",229,,,,FALSE,FALSE,0,0,"pharma ClinicalResearch DigitalHealth",,"bit.ly/2v5uAi4","https://t.co/cXdqQFmRH8","http://bit.ly/2v5uAi4","http://pbs.twimg.com/media/Djh4cbMUUAAl1cW.jpg","https://t.co/eatwoPi9CC","https://twitter.com/IQVIA_global/status/1024701347105517568/photo/1","photo","http://pbs.twimg.com/media/Djh4cbMUUAAl1cW.jpg","https://t.co/eatwoPi9CC","https://twitter.com/IQVIA_global/status/1024701347105517568/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024701347105517568","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024686221786791938",2018-08-01 16:00:07,"IQVIA_global","Physician office usage of EHR is dominated by the North. See adoption percentages for all regions: https://t.co/HPLZPsVRiV #digitalhealth #ehealth #healthIT via @skainfo https://t.co/ZpmL7VKGrC","Spredfast",169,,,,FALSE,FALSE,2,1,"digitalhealth ehealth healthIT",,"bit.ly/2vpT7O7","https://t.co/HPLZPsVRiV","http://bit.ly/2vpT7O7","http://pbs.twimg.com/media/DjhqsBWW0AAiZr2.jpg","https://t.co/ZpmL7VKGrC","https://twitter.com/IQVIA_global/status/1024686221786791938/photo/1","photo","http://pbs.twimg.com/media/DjhqsBWW0AAiZr2.jpg","https://t.co/ZpmL7VKGrC","https://twitter.com/IQVIA_global/status/1024686221786791938/photo/1",,"x23112081","skainfo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024686221786791938","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024671140550201346",2018-08-01 15:00:12,"IQVIA_global","In 2008 only 19 new actives substances were launched and by 2015 it increased to 47. This #IQVIAinstitute report explores what caused the increase: https://t.co/HLBid7c1j1
#Oncology #RareDiseases https://t.co/UiEKudq09j","Spredfast",195,,,,FALSE,FALSE,1,2,"IQVIAinstitute Oncology RareDiseases",,"bit.ly/2LGH4qJ","https://t.co/HLBid7c1j1","http://bit.ly/2LGH4qJ","http://pbs.twimg.com/media/Djhc-LMXoAAKqAv.jpg","https://t.co/UiEKudq09j","https://twitter.com/IQVIA_global/status/1024671140550201346/photo/1","photo","http://pbs.twimg.com/media/Djhc-LMXoAAKqAv.jpg","https://t.co/UiEKudq09j","https://twitter.com/IQVIA_global/status/1024671140550201346/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024671140550201346","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024644671350423553",2018-08-01 13:15:01,"IQVIA_global","Congratulations to Jon Resnick, president of #IQVIA Real-World &amp; Analytics Solutions, for being featured on @PharmaVOICE ’s 2018 list of 100 most influential and inspiring individuals in the #LifeSciences industry! https://t.co/H6u436ITKy https://t.co/UoqS5g1cA6","Spredfast",242,,,,FALSE,FALSE,10,1,"IQVIA LifeSciences",,"bit.ly/2mXUKyO","https://t.co/H6u436ITKy","http://bit.ly/2mXUKyO","http://pbs.twimg.com/media/DjhE5dPWwAAXy3Q.jpg","https://t.co/UoqS5g1cA6","https://twitter.com/IQVIA_global/status/1024644671350423553/photo/1","photo","http://pbs.twimg.com/media/DjhE5dPWwAAXy3Q.jpg","https://t.co/UoqS5g1cA6","https://twitter.com/IQVIA_global/status/1024644671350423553/photo/1",,"x18208219","PharmaVOICE","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024644671350423553","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024354044628946949",2018-07-31 18:00:10,"IQVIA_global","#Clinicaltrials, with the support of technology, have the potential to improve the number of innovative launches. This white paper gives insight into how #pharma can make best use of data: https://t.co/lRi3tsqfgN #ClinicalResearch https://t.co/bnIMac4zlj","Spredfast",230,,,,FALSE,FALSE,3,5,"Clinicaltrials pharma ClinicalResearch",,"bit.ly/2M8ljfQ","https://t.co/lRi3tsqfgN","http://bit.ly/2M8ljfQ","http://pbs.twimg.com/media/Djc8kvbWsAAZrtT.jpg","https://t.co/bnIMac4zlj","https://twitter.com/IQVIA_global/status/1024354044628946949/photo/1","photo","http://pbs.twimg.com/media/Djc8kvbWsAAZrtT.jpg","https://t.co/bnIMac4zlj","https://twitter.com/IQVIA_global/status/1024354044628946949/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024354044628946949","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024323855643561985",2018-07-31 16:00:12,"IQVIA_global","Advance your immuno-oncology research with Q² Solutions ' new T-cell Receptor (TCR) sequencing assay. Download their factsheet for assay information and specifications: https://t.co/AZUobG2BCA https://t.co/wegsgBUuuY","Spredfast",192,,,,FALSE,FALSE,0,2,,,"bit.ly/2M6t45N","https://t.co/AZUobG2BCA","http://bit.ly/2M6t45N","http://pbs.twimg.com/media/DjchHfFUwAAkOLd.jpg","https://t.co/wegsgBUuuY","https://twitter.com/IQVIA_global/status/1024323855643561985/photo/1","photo","http://pbs.twimg.com/media/DjchHfFUwAAkOLd.jpg","https://t.co/wegsgBUuuY","https://twitter.com/IQVIA_global/status/1024323855643561985/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024323855643561985","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
"x727448203180822528","x1024308732858130432",2018-07-31 15:00:07,"IQVIA_global","Discover their views of #analgesics in our free #IQVIA Social Intelligence report:   https://t.co/QQ61krWtpj #ConsumerHealth https://t.co/viUJH4xYlF","Spredfast",124,,,,FALSE,FALSE,2,2,"analgesics IQVIA ConsumerHealth",,"bit.ly/2NZDWCT","https://t.co/QQ61krWtpj","http://bit.ly/2NZDWCT","http://pbs.twimg.com/media/DjcTXRtXgAANPNq.jpg","https://t.co/viUJH4xYlF","https://twitter.com/IQVIA_global/status/1024308732858130432/photo/1","photo","http://pbs.twimg.com/media/DjcTXRtXgAANPNq.jpg","https://t.co/viUJH4xYlF","https://twitter.com/IQVIA_global/status/1024308732858130432/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IQVIA_global/status/1024308732858130432","IQVIA","","Quintiles and IMS Health have come together to be IQVIA, to help #healthcare clients find better solutions and make the potential of #HumanDataScience a reality","https://t.co/TZrZ0u4yae",FALSE,6445,353,130,3726,1400,2016-05-03 10:42:21,FALSE,"https://t.co/TZrZ0u4yae","http://www.IQVIA.com","en","https://pbs.twimg.com/profile_banners/727448203180822528/1519149572",,"http://pbs.twimg.com/profile_images/927527257106796544/VCeW1Ne2_normal.jpg"
