"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x333082609","x1017522624954556417",2018-07-12 21:34:33,"RoberRimbaud","Dicen que la izquierda es estatalista, intervencionista y q atenta contra el profesionalismo 
Aquí vemos a las fuerzas del mercado en una Unidad de Gestión Clínica dominando el trabajo de los profesionales en forma de incentivos y planificación económica
https://t.co/t8w65GQMog","Twitter Web Client",278,,,,FALSE,FALSE,0,0,,,"publico.es/sociedad/junta…","https://t.co/t8w65GQMog","http://www.publico.es/sociedad/junta-andalucia-penaliza-medicos-superen.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017522624954556417","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1017495071900471299",2018-07-12 19:45:03,"RoberRimbaud","A los q se indignaban x comentario de Gérvas de pediatras q provocaron muertes con recomendación dormir boca abajo no les escucho lo mismo con pediatra de AP: los niños mueren más cuando son atendidos por médico de familia en Reino Unido. A ver q os oiga
https://t.co/CqxIT4MQRm","Twitter Web Client",278,,,,FALSE,FALSE,3,0,,,"politica.elpais.com/politica/2018/…","https://t.co/CqxIT4MQRm","https://politica.elpais.com/politica/2018/07/06/actualidad/1530892198_511765.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017495071900471299","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1017473123984306176",2018-07-12 18:17:51,"RoberRimbaud","Que dice un pediatra en El País que en Reino Unido mueren más niños xq no hay pediatras en los centros de salud y los niños son vistos por médicos de familia
Pero q se compensa un poco xq los padres cogen los niños y los llevan a la sanidad privada jjjj
https://t.co/CqxIT4MQRm","Twitter Web Client",277,,,,FALSE,FALSE,0,1,,,"politica.elpais.com/politica/2018/…","https://t.co/CqxIT4MQRm","https://politica.elpais.com/politica/2018/07/06/actualidad/1530892198_511765.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017473123984306176","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1017472555362471936",2018-07-12 18:15:35,"RoberRimbaud","@MJSanmamed @arritmia__ @RaulCalvoRico @OMC_Espana flipante la referencia a Reino Unido, no sabe uno si reír o llorar jjj","Twitter Web Client",70,"x1017440068666093568","x308605800","MJSanmamed",FALSE,FALSE,2,1,,,,,,,,,,,,,,"x308605800 x221673191 x364716671 x425703865","MJSanmamed arritmia__ RaulCalvoRico OMC_Espana","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017472555362471936","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1017472272586723329",2018-07-12 18:14:28,"RoberRimbaud","los pediatras en atención primaria, ese nuevo grupo de presión corporativista y manipulador

la película https://t.co/83wGDigeQy","Twitter Web Client",104,,,,TRUE,FALSE,0,0,,,"twitter.com/RaulCalvoRico/…","https://t.co/83wGDigeQy","https://twitter.com/RaulCalvoRico/status/1017156303029002240",,,,,,,,,,,"es","x1017156303029002240","Pobres! Menos mal q cuando al fin terminan la consulta pueden irse a sus casas pq entonces SÍ pueden atender a esxs niñxs otrxs compañerxs AÚN SIN SER PEDIATRAS, la mayoría agotados tras consultas interminables. https://t.co/P3xbKiwk5x",2018-07-11 21:18:55,"Twitter for iPhone",21,4,"x364716671","RaulCalvoRico","Raul Calvo Rico",4598,589,50508,"Toledo","Médico de familia (numerosa para más señas). Soy del Atleti hasta las trancas. Las opiniones vertidas en esta cuenta son estrictamente personales.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017472272586723329","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1017464369565794304",2018-07-12 17:43:03,"RoberRimbaud","La Junta de Andalucía penaliza a los médicos que superen cupos de derivaciones al especialista https://t.co/t8w65GQMog vía @publico_es

Unos dicen que sí, otros que no
¿Alguien sabe si sí o si no?","Twitter Web Client",196,,,,FALSE,FALSE,0,1,,,"publico.es/sociedad/junta…","https://t.co/t8w65GQMog","http://www.publico.es/sociedad/junta-andalucia-penaliza-medicos-superen.html",,,,,,,,,"x17676713","publico_es","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1017464369565794304","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1016629902232125440",2018-07-10 10:27:11,"RoberRimbaud","@YourMedLife @doctorojete @padilla no es una cuestión de gustos sino de evidencias y consecuencias
https://t.co/QfFcgxvHx7","Twitter Web Client",87,"x1016414689226641414","x2347427322","YourMedLife",FALSE,FALSE,1,0,,,"upo.es/cades/export/s…","https://t.co/QfFcgxvHx7","https://www.upo.es/cades/export/sites/catedra-economia-salud/galerias/descargas/COPAGO_Benach_Jx_Tarafa_Gx_Muntaner_C.pdf",,,,,,,,,"x2347427322 x440358674 x6380912","YourMedLife doctorojete padilla","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1016629902232125440","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1016604929895682048",2018-07-10 08:47:57,"RoberRimbaud","jjjjj https://t.co/cLyWhddXBS","Twitter Web Client",5,,,,TRUE,FALSE,3,2,,,"twitter.com/redaccionmedic…","https://t.co/cLyWhddXBS","https://twitter.com/redaccionmedica/status/1016579838797283328",,,,,,,,,,,"und","x1016579838797283328","#privada ""En la sanidad privada el paciente deja de ser un número"" https://t.co/PgbppveWuF Información de @Borjanegrete @GrupoHLA",2018-07-10 07:08:15,"Twitter Web Client",7,3,"x229001251","redaccionmedica","Redacción Médica",62222,7614,173899,"España","Periódico online con toda la actualidad del sector sanitario. #medicina #enfermería #farmacia #sanidad #salud #pacientes",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1016604929895682048","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1016261398639403008",2018-07-09 10:02:53,"RoberRimbaud","Triennials: ¿compañeros o enemigos de clase?

LA PELÍCULA","Twitter Web Client",57,,,,FALSE,FALSE,6,0,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1016261398639403008","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
"x333082609","x1016038337054900225",2018-07-08 19:16:31,"RoberRimbaud","@nebulina total","Twitter Web Client",5,"x1016025691517747206","x25520852","nebulina",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x25520852","nebulina","ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RoberRimbaud/status/1016038337054900225","Rober Sánchez","De provincias","Medicina de familia y alrededores: MBE, Salud Pública, Gestión Sanitaria, Política Sanitaria, Políticas Sociales. Un camino que dura toda una vida.","https://t.co/owMoLqaHmZ",FALSE,2378,73,90,11801,3694,2011-07-10 23:26:32,FALSE,"https://t.co/owMoLqaHmZ","http://1palabratuyabastaraparasanarme.blogspot.com.es/","es","https://pbs.twimg.com/profile_banners/333082609/1499943994","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/991625565156397056/KzXzKyec_normal.jpg"
