"","x"
"1","@ArtistJotaErre @lafinuk Jajaaja"
"2","@ustednoesyo @aquelmartes @AngelCarabias me las dejan botando XD"
"3","@aquelmartes @ustednoesyo @AngelCarabias Manolo, va, dame las gracias. Haz algo bien hoy."
"4","@aquelmartes @ustednoesyo @AngelCarabias no verías una sarcasmo ni aunque te mordiera el ""culito"". Además le estás hablando a un hombre. Ves como a quien hay que explicarle las cosas es a ti?"
"5","Y eso que tengo unas 10.000 cuentas bloqueadas, no sé qué sería esto si no bloqueara."
"6","Otro que yo qué sé que está diciendo, porque ha hecho un hilo y no lo leído entero, encima hilos.
https://t.co/iU4XgqfFF1"
"7","Un (espero que) adolescente siendo muy macarrilla, muy malote, caca, jeje
https://t.co/FWLHBt9kNV"
"8","He estado como una hora fuera de tuiter, cuando vuelvo ya tengo:
por un lado a uno que piensa que estoy de acuerdo con el machismo si es en Irán.
https://t.co/OBlyvR1unM"
"9","No.
Y el teléfono para participar es el 636 75 14 20. Gracias por la difusión. https://t.co/7xaDBd55ot"
"10","@AlbernoLerdo @punkycoliflower Pero es muy fácil, le das aquí: https://t.co/C6TIynxcyF"
"11","@AlbernoLerdo @punkycoliflower ves, coliflower? otro especimen que tiene miedo a que nos defendamos. Hay muchos, como ves."
"12","@punkycoliflower No, cariño, ellos lo han entendido perfectamente... pero son de ese tipo de ""señores"" a los que te referías y por eso rabian,  tienen miedo a que aprendamos autodefensa."
"13","@Manduco86 es @IrenePueblas, pero no me suena haber visto un sitio web"
"14","@MAntisistema niñas contando y aconsejando a otras niñas."
"15","Niñas feministas contando sus experiencias y dando consejos a otras niñas &lt;3
¿Te mueres de amor o no? Sí.
El teléfono es el 636 75 14 20."
"16","@punkycoliflower eres una genia, cariño. Te adoro."
"17","Amigas, este lunes tenemos Radiojaputa Especial Recomendaciones Feministas y Canciones Recantadas con Letras Feministas, Cómo Mola, En Realidad Es Un Especial De La Sección 'Cuéntame Otro Cuento'.
Y otra cosa os digo: estamos preparando para el siguiente un Radiojaputa Infantil."
"18","RT SI YORASTE https://t.co/C8SIj0u84p"
"19","@GonArrivi @Relatofeminista a ti!"
"20","He escrito sobre la ""ideología de género"" de Casado, el ""Novicia"" de Santamaría y la cabalgata de Rivera.

https://t.co/XDxD27DRL9"
"21","@TobiasFinge @Trinken_Troll @eldiarioes Cállate, Tobías, no te hagas más daño."
"22","@filosofoquerie @eldiarioes  https://t.co/NyruVLzHSf"
"23","@ChemazoM @TobiasFinge  https://t.co/nX9LlMSBH5"
"24","@filosofoquerie @eldiarioes Veo tu TL y se puede oler el miedo desde aquí. Y me parece un buen castigo, la verdad."
"25","Cuando los comentarios te dan la razón https://t.co/Sgcm8D67V6"
"26","@KikojaviGil @KrITIK4L @BolliStuff Ay, pues tiene razón este hombre,  deberíamos haber hecho pantallazos del antes y el después de políticos."
"27","@KrITIK4L @BolliStuff Ahhh vale.  Gracias!"
"28","@KrITIK4L @BolliStuff oye, yo he perdido 5000 followers y nunca en mi vida he comprado un seguidor. ¿Está tw limpiando bots o algo?"
"29","Voy a versionar la canción de Señora de la Jurado. 'Sorora', se llama. Sin ningún tipo de vergüenza. https://t.co/pDZd1cXV3M"
"30","@_Peich XDDD"
"31","@andresitocdz de qué te ríes? no ves las noticias, hijo mío? Alsasua te suena?"
"32","Ni habiendo pruebas. Si es al revés, vas a la cárcel 13 años.
En 4 días a tratar otra vez con mujeres. https://t.co/07aWRmw3i4"
"33","Y ganarán el juicio. https://t.co/9jsJlDmGkw"
"34","@Joni_punto junto a Alfonso Rojo"
"35","Tenemos este análisis en España? Porque parece que es algo que todo el mundo sabe pero que no cuenta.
https://t.co/C2f3jc08ml"
"36","@MariuskaPetrusk @Brilliant_Ads me parece que no"
"37","@SoyDeLimon @boson_de_higs @luisbeltri jajajaja"
"38","@SergioGilAban jajajjaja"
"39","No te javiermaríes así, es un juego para reusar nombres de machistas. Los machistas podéis inventaros otro juego, no nos copiéis. No nos borboneéis la ideas. https://t.co/dNd4AVsiHf"
"40","No te javiermaríes, por favor, que es muy temprano. https://t.co/CcOs326bdy"
"41","@_Peich @MarioLunaNK Mario, los que teméis a esa ley sois los que dais verdadero miedo."
"42","La justicia funciona, son sólo algunos jueces, casos aislados, ""problemas singulares"", nada por lo que preocuparse. https://t.co/4NWruimc5t"
"43","@GuzmanPepa @PisandoFuerte10 @Blamitter @PSOE ni te voy a contestar, porque ni siquiera leíste el hilo entero, y eso que sólo tenía dos tuits."
"44","Albertriverar: usar cualquier lucha para intereses personales.

ejemplo de uso: Ciudadanos albertriveró en el Orgullo hablando de los vientres de alquiler."
"45","Pablocasarse: Acción de demostrar que no has entendido nada sin ningún tipo de vergüenza.

Ejemplo de uso: un diputado se pablocasa y anuncia que la ""ideología de género"" ha de combatirse."
